"Título","Taxa de encarceramento por UF"
"Unidade","Número de pessoas presas a cada 100 mil habitantes"
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016. Pesquisa Nacional por Amostragem Domiciliar – PNAD/IBGE."
"Fonte link","http://servicodados.ibge.gov.br/Download/Download.ashx?u=ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Caracteristicas_Gerais_dos_Moradores_2012_2016/PNAD_Continua_2012_2016_Caracteristicas_Gerais_dos_Moradores.ods"
"Notas",""
"",""
"Unidade da Federação","Taxa de encarceramento"
"MA","97"
"PI","99"
"BA","102"
"PA","153"
"AL","177"
"SE","205"
"RN","220"
"AM","230"
"GO","233"
"CE","241"
"RJ","242"
"SC","244"
"PR","249"
"RS","249"
"PB","263"
"PE","287"
"MG","293"
"MT","311"
"AP","343"
"RR","351"
"TO","379"
"ES","421"
"DF","485"
"SP","492"
"AC","529"
"MS","532"
"RO","1012"
